Gene	Gene.name	Tissue	nTPM	brain_2	brain_1	mean_expression	sd_expression
ENSG00000053438	NNAT	basal ganglia	896.4	Brain	Brain	79.158	252.606001261786
ENSG00000053501	USE1	amygdala	58	Brain	Brain	29.824	11.7660972670618
ENSG00000053524	MCF2L2	cerebral cortex	33.9	Brain	Brain	3.308	6.97704223631669
ENSG00000053702	NRIP2	cerebellum	60.2	Brain	Brain	5.96	8.2755849414074
ENSG00000054116	TRAPPC3	choroid plexus	86.5	Brain	Brain	44.394	10.5232378426926
ENSG00000054277	OPN3	cerebral cortex	11.8	Brain	Brain	3.58	3.04235408316437
ENSG00000054356	PTPRN	basal ganglia	117.8	Brain	Brain	20.37	44.0812248894595
ENSG00000054392	HHAT	choroid plexus	5.7	Brain	Brain	2.268	1.28133221488338
ENSG00000054690	PLEKHH1	spinal cord	46.1	Brain	Brain	6.81	9.44993791146864
ENSG00000054793	ATP9A	basal ganglia	52.1	Brain	Brain	19.328	16.0853976117014
ENSG00000054803	CBLN4	cerebral cortex	17.3	Brain	Brain	1.972	4.1695220692202
ENSG00000054965	FAM168A	cerebral cortex	59.1	Brain	Brain	17.768	12.7443535316145
ENSG00000055118	KCNH2	cerebellum	35.4	Brain	Brain	8.404	11.1482946439977
ENSG00000055163	CYFIP2	cerebellum	84.2	Brain	Brain	25.932	28.8383774912274
ENSG00000055813	CCDC85A	cerebral cortex	12.4	Brain	Brain	2.56	3.01249100261168
ENSG00000056050	HPF1	cerebral cortex	29.1	Brain	Brain	19.596	4.74130611471875
ENSG00000056097	ZFR	cerebral cortex	45.2	Brain	Brain	27.048	6.92930010895761
ENSG00000056972	TRAF3IP2	choroid plexus	33.6	Brain	Brain	12.448	8.50474633390565
ENSG00000057704	TMCC3	spinal cord	21	Brain	Brain	8.218	5.28859728325856
ENSG00000057757	PITHD1	cerebellum	128.8	Brain	Brain	60.744	33.8362452686103
ENSG00000058091	CDK14	cerebellum	21.9	Brain	Brain	9.652	6.03240365671521
ENSG00000058335	RASGRF1	cerebellum	52.5	Brain	Brain	3.922	9.61678570765403
ENSG00000058404	CAMK2B	basal ganglia	107.3	Brain	Brain	16.222	30.8335511005364
ENSG00000058453	CROCC	cerebellum	29	Brain	Brain	7.336	5.34219858431767
ENSG00000058799	YIPF1	choroid plexus	15.4	Brain	Brain	7.93	3.08500322495118
ENSG00000058866	DGKG	cerebellum	26.7	Brain	Brain	3.536	4.34533575885027
ENSG00000059122	FLYWCH1	cerebellum	31.1	Brain	Brain	14.7	5.94296016394222
ENSG00000059145	UNKL	cerebellum	12.9	Brain	Brain	5.14	2.60062786767397
ENSG00000059588	TARBP1	cerebellum	10.7	Brain	Brain	5.878	2.3805581578397
ENSG00000059758	CDK17	basal ganglia	38.2	Brain	Brain	17.462	8.7361059367876
ENSG00000059915	PSD	amygdala	394.2	Brain	Brain	55.688	119.072443461267
ENSG00000060237	WNK1	midbrain	108.1	Brain	Brain	45.436	25.8757293893056
ENSG00000060339	CCAR1	choroid plexus	28.3	Brain	Brain	18.11	4.14286945810977
ENSG00000060491	OGFR	cerebral cortex	59.2	Brain	Brain	29.924	14.0817809634308
ENSG00000060709	RIMBP2	cerebral cortex	19.4	Brain	Brain	4.346	6.36531449116448
ENSG00000061337	LZTS1	basal ganglia	23.8	Brain	Brain	4.788	8.67933600394568
ENSG00000061492	WNT8A	basal ganglia	0.5	Brain	Brain	0.032	0.115068746089156
ENSG00000061918	GUCY1B1	basal ganglia	50.9	Brain	Brain	15.43	12.6666402613402
ENSG00000061938	TNK2	cerebellum	55.6	Brain	Brain	22.528	16.3890087608514
ENSG00000062038	CDH3	choroid plexus	53.3	Brain	Brain	6.388	9.85373937101224
ENSG00000062096	ARSF	basal ganglia	4.7	Brain	Brain	0.796	1.528632842558
ENSG00000062194	GPBP1	cerebellum	71.8	Brain	Brain	46.726	11.004726442835
ENSG00000062370	ZNF112	cerebellum	5.7	Brain	Brain	2.78	1.22507808997248
ENSG00000062598	ELMO2	basal ganglia	51.1	Brain	Brain	26.746	11.8626013253452
ENSG00000062725	APPBP2	cerebral cortex	18.2	Brain	Brain	10.722	3.24271805869139
ENSG00000063015	SEZ6	basal ganglia	104.4	Brain	Brain	8.082	22.6912433888188
ENSG00000063169	BICRA	cerebellum	11.7	Brain	Brain	4.964	3.17308579609625
ENSG00000063176	SPHK2	cerebral cortex	39	Brain	Brain	12.738	9.76726916485747
ENSG00000063180	CA11	amygdala	383.3	Brain	Brain	54.154	109.479977127495
ENSG00000063245	EPN1	cerebral cortex	145	Brain	Brain	61.606	39.952570911632
ENSG00000063322	MED29	amygdala	51.4	Brain	Brain	25.13	11.1582540145428
ENSG00000063761	ADCK1	choroid plexus	10.4	Brain	Brain	5.972	1.66304858986288
ENSG00000064102	INTS13	spinal cord	32.8	Brain	Brain	11.906	4.72217564869657
ENSG00000064218	DMRT3	choroid plexus	9.5	Brain	Brain	1.24	4.1182025006955
ENSG00000064309	CDON	cerebellum	17.8	Brain	Brain	3.946	4.78881392157914
ENSG00000064393	HIPK2	amygdala	127.2	Brain	Brain	24.306	38.3207803699672
ENSG00000064607	SUGP2	cerebellum	97.4	Brain	Brain	32.802	16.4054059034558
ENSG00000064652	SNX24	spinal cord	45	Brain	Brain	12.276	7.54990363501146
ENSG00000064787	BCAS1	midbrain	842.8	Brain	Brain	103.322	270.33137207992
ENSG00000065057	NTHL1	basal ganglia	24	Brain	Brain	11.174	4.95493198948363
ENSG00000065268	WDR18	cerebellum	30.1	Brain	Brain	14.374	6.07201039229032
ENSG00000065526	SPEN	cerebellum	23.1	Brain	Brain	11.576	3.6567276550021
ENSG00000065559	MAP2K4	cerebral cortex	43.4	Brain	Brain	15.508	6.65253795363016
ENSG00000065600	PACC1	spinal cord	70.7	Brain	Brain	6.498	10.6623788363094
ENSG00000065609	SNAP91	cerebellum	110.6	Brain	Brain	11.636	24.8004917660262
ENSG00000065665	SEC61A2	cerebral cortex	28.2	Brain	Brain	9.92	8.19113507870252
ENSG00000065717	TLE2	cerebellum	282.8	Brain	Brain	34.336	41.4811624814967
ENSG00000065802	ASB1	midbrain	18.5	Brain	Brain	8.758	4.75944131518113
ENSG00000065923	SLC9A7	basal ganglia	28.2	Brain	Brain	3.964	4.25818587414588
ENSG00000065989	PDE4A	cerebral cortex	25.7	Brain	Brain	9.418	6.93779033222232
ENSG00000066032	CTNNA2	amygdala	82.4	Brain	Brain	11.518	24.2175909248645
ENSG00000066084	DIP2B	cerebellum	27.5	Brain	Brain	10.168	5.61868021397719
ENSG00000066248	NGEF	basal ganglia	146.2	Brain	Brain	13.584	29.4940766104321
ENSG00000066322	ELOVL1	spinal cord	344.9	Brain	Brain	61.584	52.7968086543271
ENSG00000066468	FGFR2	spinal cord	594.1	Brain	Brain	39.768	87.4094573877239
ENSG00000066739	ATG2B	cerebellum	12.1	Brain	Brain	6.254	2.05498001380618
ENSG00000067057	PFKP	choroid plexus	133.4	Brain	Brain	46.994	42.3550320360581
ENSG00000067221	STOML1	amygdala	34.4	Brain	Brain	12.722	9.66143797130993
ENSG00000067365	METTL22	cerebellum	12.7	Brain	Brain	6.004	2.94264631699747
ENSG00000067606	PRKCZ	cerebellum	149.3	Brain	Brain	19.694	25.8931431314255
ENSG00000067715	SYT1	cerebellum	166.3	Brain	Brain	24.072	56.9164838932933
ENSG00000067798	NAV3	cerebellum	11.1	Brain	Brain	3.384	3.52387541765932
ENSG00000067840	PDZD4	amygdala	224.4	Brain	Brain	31.788	67.4314153153304
ENSG00000067842	ATP2B3	choroid plexus	109.2	Brain	Brain	3.91	15.7161459937848
ENSG00000068078	FGFR3	basal ganglia	155.8	Brain	Brain	30.35	50.510804057455
ENSG00000068079	IFI35	choroid plexus	39.3	Brain	Brain	19.24	8.96492029626406
ENSG00000068097	HEATR6	cerebellum	9.2	Brain	Brain	4.582	1.70230216267889
ENSG00000068308	OTUD5	cerebral cortex	57.4	Brain	Brain	37.884	8.81870368556953
ENSG00000068354	TBC1D25	cerebellum	13	Brain	Brain	6.714	1.80158773512337
ENSG00000068383	INPP5A	basal ganglia	66.8	Brain	Brain	24.464	16.7032046295901
ENSG00000068394	GPKOW	midbrain	25.6	Brain	Brain	16.102	4.46448525268351
ENSG00000068400	GRIPAP1	cerebellum	73	Brain	Brain	20.744	11.9070577595725
ENSG00000068615	REEP1	hypothalamus	32.5	Brain	Brain	10.544	10.3615096213174
ENSG00000068745	IP6K2	cerebellum	167.5	Brain	Brain	75.204	30.0199726712679
ENSG00000068796	KIF2A	cerebral cortex	36.1	Brain	Brain	14.798	9.81536675268917
ENSG00000068903	SIRT2	spinal cord	453.4	Brain	Brain	64.02	83.1279441706627
ENSG00000068971	PPP2R5B	basal ganglia	64.7	Brain	Brain	21.456	18.805309280702
ENSG00000069329	VPS35	midbrain	7.1	Brain	Brain	3.962	1.5668621965116
ENSG00000069424	KCNAB2	amygdala	112.4	Brain	Brain	25.518	37.304870229732
ENSG00000069696	DRD4	cerebellum	3.6	Brain	Brain	1.196	1.1028645447568
ENSG00000069849	ATP1B3	choroid plexus	377.2	Brain	Brain	101.21	74.1456873943702
ENSG00000069966	GNB5	cerebellum	70	Brain	Brain	21.138	18.2508584086629
ENSG00000070061	ELP1	cerebellum	46.3	Brain	Brain	15.856	8.26895250380628
ENSG00000070087	PFN2	amygdala	252.8	Brain	Brain	80.464	78.5637080882225
ENSG00000070214	SLC44A1	midbrain	119.1	Brain	Brain	36.26	37.3095052724298
ENSG00000070388	FGF22	cerebral cortex	5.6	Brain	Brain	1.168	2.14699029968437
ENSG00000070413	DGCR2	cerebral cortex	51.3	Brain	Brain	28.554	11.2545357749755
ENSG00000070501	POLB	cerebellum	172.2	Brain	Brain	25.48	25.2684444656628
ENSG00000070610	GBA2	cerebellum	97.1	Brain	Brain	47.446	19.567467899552
ENSG00000070614	NDST1	spinal cord	46.1	Brain	Brain	20.204	10.5392359247505
ENSG00000070669	ASNS	cerebellum	75.8	Brain	Brain	27.76	19.609077448145
ENSG00000070718	AP3M2	cerebral cortex	30.1	Brain	Brain	13.116	6.99193004214757
ENSG00000070731	ST6GALNAC2	choroid plexus	127	Brain	Brain	12.158	20.6324599619539
ENSG00000070759	TESK2	spinal cord	13.6	Brain	Brain	5.434	3.05350985735753
ENSG00000070761	CFAP20	choroid plexus	40	Brain	Brain	23.634	7.57715713207016
ENSG00000070808	CAMK2A	amygdala	306.6	Brain	Brain	32.752	96.6985833211973
ENSG00000070814	TCOF1	choroid plexus	35.8	Brain	Brain	13.87	4.58570315975508
ENSG00000070886	EPHA8	choroid plexus	32.4	Brain	Brain	1.228	4.62407365240403
ENSG00000070961	ATP2B1	basal ganglia	71.3	Brain	Brain	22.288	18.2127073825964
ENSG00000071054	MAP4K4	amygdala	138.8	Brain	Brain	37.614	37.756026738814
ENSG00000071242	RPS6KA2	spinal cord	73	Brain	Brain	22.058	13.9464733308226
ENSG00000071246	VASH1	spinal cord	42.4	Brain	Brain	12.788	11.5620533449306
ENSG00000071553	ATP6AP1	choroid plexus	220.3	Brain	Brain	78.832	36.2111970505911
ENSG00000071655	MBD3	cerebral cortex	83.9	Brain	Brain	34.306	21.6530943256974
ENSG00000071677	PRLH	spinal cord	2.6	Brain	Brain	0.104	0.394327119979111
ENSG00000072041	SLC6A15	cerebellum	14.4	Brain	Brain	2.376	4.26932867637744
ENSG00000072071	ADGRL1	cerebellum	72.3	Brain	Brain	13.56	14.2783838335422
ENSG00000072121	ZFYVE26	cerebellum	8	Brain	Brain	5.272	1.34423030096811
ENSG00000072134	EPN2	amygdala	68.8	Brain	Brain	24.768	16.3823254684768
ENSG00000072315	TRPC5	cerebral cortex	1.4	Brain	Brain	0.06	0.222233559801486
ENSG00000072682	P4HA2	choroid plexus	76.8	Brain	Brain	21.526	18.9054339451138
ENSG00000072803	FBXW11	cerebral cortex	38.4	Brain	Brain	21.676	7.90082816635609
